Date, Open, High, Low, Close
11/30/22, 4.363, 4.402, 4.339, 4.352
11/29/22, 4.304, 4.376, 4.281, 4.363
11/28/22, 4.292, 4.320, 4.263, 4.304
11/25/22, 4.248, 4.312, 4.248, 4.292
11/23/22, 4.248, 4.329, 4.216, 4.248
11/22/22, 4.214, 4.286, 4.211, 4.248
11/21/22, 4.250, 4.250, 4.203, 4.214
11/18/22, 4.226, 4.266, 4.222, 4.250
11/17/22, 4.203, 4.254, 4.203, 4.226
11/16/22, 4.188, 4.245, 4.177, 4.203
11/15/22, 4.172, 4.219, 4.159, 4.188
11/14/22, 4.170, 4.206, 4.154, 4.172
11/10/22, 4.164, 4.205, 4.109, 4.170
11/09/22, 4.160, 4.206, 4.149, 4.164
11/08/22, 4.084, 4.188, 4.084, 4.160
11/07/22, 4.116, 4.126, 4.079, 4.108
11/04/22, 4.130, 4.147, 4.090, 4.113
11/03/22, 4.138, 4.148, 4.104, 4.138
11/02/22, 4.131, 4.169, 4.113, 4.015
